ID,Date,Hour,Temperature,Humidity,Wind_speed,Visibility,Dew.point.temperature,Solar_Radiation,Rainfall,Snowfall
53,2017-12-03,4,3.5,73,1,1060,-0.8,0,0,0
54,2017-12-03,5,3.9,75,1.9,914,-0.1,0,0,0
55,2017-12-03,6,3.4,86,2.5,278,1.2,0,1,0
56,2017-12-03,7,3.1,NA,1.2,129,1.7,0,0,0
57,2017-12-03,8,3.2,92,1.8,244,2,0,0,0
58,2017-12-03,9,3.5,91,1.8,231,NA,0.02,2.5,0
59,2017-12-03,10,4.4,89,2.2,257,2.7,0.24,0,0
60,2017-12-03,11,5.1,87,1.4,321,3.1,0.25,0,0
61,2017-12-03,12,5.8,85,1.7,349,3.4,0.43,0,0
62,2017-12-03,13,6.8,81,1.9,390,3.7,0.6,0,0
63,2017-12-03,14,7.6,76,1.2,422,3.6,0.69,0,0
64,2017-12-03,15,8,73,1.6,433,3.4,0.53,0,0
65,2017-12-03,16,7.6,77,1.6,399,3.8,0.2,0,0
66,2017-12-03,17,6.7,82,1.5,358,3.8,0.05,0,0
67,2017-12-03,18,6,84,1.9,327,3.4,0,0,0
68,2017-12-03,19,5.7,85,1.7,309,3.3,0,0,0
69,2017-12-03,20,5.2,87,1.4,253,3.2,0,0,0
70,2017-12-03,21,4.7,87,1.2,247,2.7,0,0,0
71,2017-12-03,22,4.3,89,1.8,201,2.6,0,0,0
72,2017-12-03,23,3.9,90,1.3,194,2.4,0,0,0
73,2017-12-04,0,4.2,88,0.6,216,2.3,0,0,0
74,2017-12-04,1,4.3,87,0.5,221,2.3,0,0,0
75,2017-12-04,2,4.4,87,1.8,207,2.4,0,0,0
76,2017-12-04,3,3.6,85,2.3,206,1.3,0,0,0
77,2017-12-04,4,2.8,89,1.5,130,1.1,0,0,0
78,2017-12-04,5,2,83,2.7,253,-0.5,0,0,0
79,2017-12-04,6,1.2,76,3.7,371,-2.5,0,0.1,0
80,2017-12-04,7,0.2,68,3.4,702,-5,0,0,0
81,2017-12-04,8,-0.8,69,3.5,954,NA,0.01,0,0
82,2017-12-04,9,-1.5,47,4.2,1888,-11.3,0.22,0,0
83,2017-12-04,10,-1.1,40,4.5,2000,-13,0.64,0,0
84,2017-12-04,11,-0.5,41,4.1,1799,-12.1,0.94,0,0
85,2017-12-04,12,-0.3,38,4.8,1823,-12.9,1.11,0,0
86,2017-12-04,13,0,30,5.4,1938,-15.5,1.17,0,0
87,2017-12-04,14,0.1,27,4.5,2000,-16.7,NA,0,0
88,2017-12-04,15,-0.1,25,5.8,2000,-17.8,0.88,0,0
89,2017-12-04,16,-0.2,23,4.7,2000,-18.8,0.55,0,0
90,2017-12-04,17,-1.3,26,5.3,2000,-18.3,0.18,0,0
91,2017-12-04,18,-2.1,29,3.9,2000,-17.7,0,0,0
92,2017-12-04,19,-2.9,32,3.2,2000,-17.3,0,0,0
93,2017-12-04,20,-3.6,38,3,2000,-15.8,0,0,0
94,2017-12-04,21,-4.6,43,4.5,2000,-15.3,0,0,0
95,2017-12-04,22,-5.3,45,2.5,2000,-15.3,0,0,0
96,2017-12-04,23,-5.8,44,2.4,2000,-16.1,0,0,0
97,2017-12-05,0,-6.1,42,2.6,2000,-16.9,0,0,0
98,2017-12-05,1,-6.5,41,2.8,2000,-17.6,0,0,0
99,2017-12-05,2,-6.8,41,2.5,NA,-17.8,0,0,0
100,2017-12-05,3,-6.9,39,2,2000,-18.5,0,0,0
101,2017-12-05,4,-7.2,34,3,2000,-20.4,0,0,0
102,2017-12-05,5,-7.4,33,2.6,2000,-20.9,NA,0,0
103,2017-12-05,6,-7.4,34,3.2,2000,-20.6,0,0,0
104,2017-12-05,7,-7.5,33,2.2,2000,-21,0,0,0
105,2017-12-05,8,-8.1,36,1.6,2000,-20.5,0.01,0,0
106,2017-12-05,9,-7.6,31,1.3,1974,-21.8,0.21,0,0
107,2017-12-05,10,-5.5,26,2.8,1967,-22,0.64,0,0
108,2017-12-05,11,-3.9,25,0,1959,-21,NA,0,0
109,2017-12-05,12,-2.3,25,0,1962,-19.7,0,0,0
110,2017-12-05,13,-1.6,27,0,1955,-18.2,0,0,0
111,2017-12-05,14,-1.1,28,0,2000,-17.3,0,0,0
112,2017-12-05,15,-0.7,28,0,2000,-16.9,0,0,0
113,2017-12-05,16,-0.5,30,0,2000,-16,0,0,0
114,2017-12-05,17,-1.6,35,0,2000,-15.1,0,0,0
115,2017-12-05,18,-2.6,40,0,2000,-14.4,0,0,0
116,2017-12-05,19,-3.2,45,0,NA,-13.5,0,0,0
117,2017-12-05,20,-3.5,46,0,2000,-13.4,0,0,0
118,2017-12-05,21,-3.7,47,0,2000,-13.3,0,0,0
119,2017-12-05,22,-2.8,49,0,2000,-12,0,0,0
120,2017-12-05,23,-2.5,59,0,1210,-9.4,0,0,0
121,2017-12-06,0,-2.8,NA,0,331,-6.2,0,0.1,0.1
122,2017-12-06,1,-3,79,0,293,-6.1,0,0,0.3
123,2017-12-06,2,-3,79,0,1862,-6.1,0,0,0.4
124,2017-12-06,3,-3.2,78,0,1808,-6.4,0,0.2,0.4
125,2017-12-06,4,-3.4,75,0,1982,-7.2,0,0,0.4
126,2017-12-06,5,-3.6,76,0,1934,-7.2,0,0,0.4
127,2017-12-06,6,-3.7,NA,0,1864,-7.3,0,0,0.4
128,2017-12-06,7,-4.2,77,0,1741,-7.6,NA,0,0.3
129,2017-12-06,8,-4.2,78,0,1518,-7.4,0.01,0,NA
130,2017-12-06,9,-3.3,70,0,1324,-7.9,0.25,0,0.2
131,2017-12-06,10,-0.9,64,0,1224,-6.8,0.63,0,0.2
132,2017-12-06,11,1.6,57,NA,1261,-6,0.93,0,0
133,2017-12-06,12,2.4,52,0.9,1224,-6.4,1.08,NA,0
134,2017-12-06,13,4.2,47,1.1,1469,-6.1,1.1,0,0
135,2017-12-06,14,5.5,34,1,1966,-9.1,0.96,0,0
136,2017-12-06,15,5.5,31,3.1,1968,-10.3,0.72,0,0
137,2017-12-06,16,5.3,37,2.9,2000,-8.2,0.36,0,0
138,2017-12-06,17,4.1,60,2.5,1565,-2.9,0.1,0,0
139,2017-12-06,18,1.7,90,1,66,0.2,0,0.3,0.3
140,2017-12-06,19,1.2,92,0.7,180,0,0,0,1
141,2017-12-06,20,1.2,94,0.6,228,0.3,0,0,1
142,2017-12-06,21,1.1,92,0.5,235,0,0,0.7,1
143,2017-12-06,22,1.3,92,0.6,233,0.1,0,0,1
144,2017-12-06,23,1.3,92,0.6,209,0.1,0,NA,1
145,2017-12-07,0,1.4,92,0.5,240,0.2,0,0,0.9
146,2017-12-07,1,1.5,92,0.4,227,0.3,0,0,0.9
147,2017-12-07,2,1.4,92,0.7,168,0.2,0,0,0.9
148,2017-12-07,3,1.9,NA,1.4,218,0.5,0,0,0.9
149,2017-12-07,4,1.6,92,0.7,119,0.4,0,0,0.9
150,2017-12-07,5,1.5,92,1.1,175,0.3,0,0,0.9
151,2017-12-07,6,1,93,0.5,148,0,0,0,0.9
152,2017-12-07,7,0.3,93,0.5,173,-0.7,0,0,0.9
153,2017-12-07,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8
154,2017-12-07,9,0.1,91,0.8,265,-1.1,0.14,0,0.8
155,2017-12-07,10,1.1,83,0.7,311,-1.4,0.41,0,0.7
156,2017-12-07,11,2.3,69,1.7,628,-2.8,0.63,0,0.6
157,2017-12-07,12,3.7,65,2.4,833,-2.2,0.98,0,0.3
158,2017-12-07,13,4.1,37,3.1,1767,-9.3,1.14,0,0
159,2017-12-07,14,4.4,36,2.7,1975,-9.4,1.04,0,0
160,2017-12-07,15,4,35,3.1,1962,-10.1,0.84,0,0
161,2017-12-07,16,3.2,38,2.9,1817,-9.7,0.51,0,0
162,2017-12-07,17,2.1,50,2,1434,-7.2,0.15,0,0
163,2017-12-07,18,0.7,46,2.7,1558,-9.6,0,0,0
164,2017-12-07,19,-0.4,47,2.5,1269,-10.3,0,0,0
165,2017-12-07,20,-1.4,47,2.5,1620,-11.2,0,0,0
166,2017-12-07,21,-2.2,46,2.2,1975,-12.2,0,0,0
167,2017-12-07,22,-2.7,48,2.6,1844,-12.2,0,0,0
168,2017-12-07,23,-3.2,50,2.1,1887,-12.1,0,0,0
169,2017-12-08,0,-3.5,49,2.6,1893,-12.6,0,0,0
170,2017-12-08,1,-3.7,50,2.5,1902,-12.6,0,0,0
171,2017-12-08,2,-4.3,53,1,1918,-12.4,0,0,0
172,2017-12-08,3,-4.8,52,1.6,1978,-13.1,0,0,0
173,2017-12-08,4,-5.3,53,2.4,1936,-13.4,0,0,0
174,2017-12-08,5,-5.8,56,2,1941,-13.1,0,0,0
175,2017-12-08,6,-6,56,3.5,1853,-13.3,0,0,0
176,2017-12-08,7,-6.5,57,0.8,1776,-13.6,0,0,0
177,2017-12-08,8,-7,59,0.8,1559,-13.6,0.01,0,0
178,2017-12-08,9,-6.7,50,0.9,1492,-15.4,0.23,0,0
179,2017-12-08,10,-5.3,44,2.8,1516,-15.6,0.63,0,0
180,2017-12-08,11,-3.7,39,1.4,1595,-15.6,0.93,0,0
181,2017-12-08,12,-2,30,1.4,1728,-17.3,1.14,0,0
182,2017-12-08,13,-1.7,28,1.8,1963,-17.8,1.22,0,0
183,2017-12-08,14,-1.3,27,3.1,1906,-17.9,1.12,0,0
184,2017-12-08,15,-0.8,26,3.3,1977,-17.9,0.87,0,0
185,2017-12-08,16,-1.1,24,3.4,2000,-19.1,0.56,0,0
186,2017-12-08,17,-2.4,30,2.7,2000,-17.6,0.18,0,0
187,2017-12-08,18,-3.1,33,1.2,2000,-17.1,0,0,0
188,2017-12-08,19,-3.3,35,1.1,2000,-16.6,0,0,0
189,2017-12-08,20,-3.3,34,1.5,2000,-16.9,0,0,0
190,2017-12-08,21,-3.3,35,0.5,2000,-16.6,0,0,0
191,2017-12-08,22,-3.4,39,1.2,2000,-15.4,0,0,0
192,2017-12-08,23,-3.5,43,0.9,2000,-14.3,0,0,0
193,2017-12-09,0,-3.5,48,0.9,1967,-12.9,0,0,0
194,2017-12-09,1,-4.1,49,0.6,2000,-13.2,0,0,0
195,2017-12-09,2,-4.7,50,0.7,1983,-13.5,0,0,0
196,2017-12-09,3,-4.3,47,0.6,1992,-13.9,0,0,0
197,2017-12-09,4,-4.3,49,0.7,2000,-13.4,0,0,0
198,2017-12-09,5,-4.7,49,0.8,1999,-13.8,0,0,0
199,2017-12-09,6,-5.1,53,0.9,1975,-13.2,0,0,0
200,2017-12-09,7,-5.5,56,0.8,1950,-12.9,0,0,0
201,2017-12-09,8,-5.4,56,0.7,1940,-12.8,0.01,0,0
202,2017-12-09,9,-4.7,48,1,1784,-14,0.23,0,0
203,2017-12-09,10,-2.2,42,1.3,1646,-13.4,0.61,0,0
204,2017-12-09,11,0,45,1.1,1500,-10.5,0.89,0,0
205,2017-12-09,12,2.4,40,0.8,1809,-9.8,1.05,0,0
206,2017-12-09,13,3.9,36,2,1702,-9.8,1.13,0,0
207,2017-12-09,14,4.7,32,2.2,1948,-10.6,1.06,0,0
208,2017-12-09,15,5.2,30,2,1963,-11,0.84,0,0
209,2017-12-09,16,4.4,33,1.6,1963,-10.5,0.4,0,0
210,2017-12-09,17,3.5,37,1.8,1963,-9.8,0.1,0,0
211,2017-12-09,18,2.5,41,1,1974,-9.4,0,0,0
212,2017-12-09,19,1.5,48,0.4,1878,-8.3,0,0,0
213,2017-12-09,20,0.8,51,1.4,1848,-8.2,0,0,0
214,2017-12-09,21,-0.1,55,0.7,1654,-8,0,0,0
215,2017-12-09,22,-0.5,55,0.6,1655,-8.4,0,0,0
216,2017-12-09,23,-0.1,54,1.3,1570,-8.3,0,0,0
217,2017-12-10,0,-0.2,55,1,1629,-8.1,0,0,0
218,2017-12-10,1,-0.2,54,0.5,1747,-8.4,0,0,0
219,2017-12-10,2,NA,52,0.7,1726,NA,0,0,0
220,2017-12-10,3,0.3,53,0.5,1748,-8.1,0,0,0
221,2017-12-10,4,0.4,52,1.6,1816,-8.3,0,0,0
222,2017-12-10,5,0.3,74,1,178,-3.7,0,0,0.7
223,2017-12-10,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7
224,2017-12-10,7,-0.4,92,1.1,121,-1.5,0,0,4
225,2017-12-10,8,-0.2,90,1.2,378,-1.6,0,0,4.1
226,2017-12-10,9,0.2,90,1,305,-1.2,0,1.6,4.3
227,2017-12-10,10,0.5,91,0.4,143,-0.8,0,0,4.3
228,2017-12-10,11,0.9,92,0.9,137,-0.2,0.03,0,3.9
229,2017-12-10,12,2.3,88,0.3,245,0.5,0.28,0,3.1
230,2017-12-10,13,3.3,87,1.1,230,1.3,0.54,0,2.1
231,2017-12-10,14,4.2,85,0.7,325,1.8,0.65,0,1.4
232,2017-12-10,15,6.7,63,4.5,715,0.1,0.35,0,1
233,2017-12-10,16,5.4,71,3.5,622,0.5,0.2,0,0.5
234,2017-12-10,17,3.6,65,4.3,1061,-2.3,0.03,0,0.4
235,2017-12-10,18,2,61,3,2000,-4.7,0,0,0
236,2017-12-10,19,1.6,53,4,2000,-6.9,0,0,0
237,2017-12-10,20,0.6,57,3.9,1954,-6.9,0,0,0
238,2017-12-10,21,0,59,3,1862,-7,0,0,0
239,2017-12-10,22,-1,56,4.7,2000,-8.6,0,0,0
240,2017-12-10,23,-1.4,43,4.3,2000,-12.3,0,0,0
241,2017-12-11,0,-2.5,39,3.4,2000,-14.5,0,0,0
242,2017-12-11,1,-3.4,36,3.8,2000,-16.3,0,0,0
243,2017-12-11,2,-4.2,35,3.4,2000,-17.4,0,0,0
244,2017-12-11,3,-4.7,38,2.4,2000,-16.8,0,0,0
245,2017-12-11,4,-5.2,35,3.2,2000,-18.3,0,0,0
246,2017-12-11,5,-5.6,38,3.2,1974,-17.6,0,0,0
247,2017-12-11,6,-5.9,39,2.9,1979,-17.6,0,NA,0
248,2017-12-11,7,-6,39,3.1,1996,-17.7,0,0,0
249,2017-12-11,8,-6,38,3.6,1994,-18,0.01,0,0
250,2017-12-11,9,-5.9,36,5.1,1941,-18.6,0.1,0,0
251,2017-12-11,10,-5.3,32,4.5,2000,-19.4,0.62,0,0
252,2017-12-11,11,-4.7,36,3.8,2000,-17.5,1,0,0
253,2017-12-11,12,-5.2,33,4.6,1973,-19,1.26,0,0
254,2017-12-11,13,-5.4,32,5.1,1986,-19.5,1.24,0,0
255,2017-12-11,14,-5.4,31,4.1,1945,-19.9,1.13,0,0
256,2017-12-11,15,-5.5,33,4.5,2000,-19.2,0.92,0,0
257,2017-12-11,16,-6,40,4,2000,-17.4,0.55,0,0
258,2017-12-11,17,-7.1,44,4.2,2000,-17.3,0.18,0,0
259,2017-12-11,18,-7.9,43,3.3,2000,-18.3,0,0,0
260,2017-12-11,19,-8.6,45,3.9,2000,-18.4,0,0,0
261,2017-12-11,20,-9.3,49,3.8,2000,-18,0,0,0
262,2017-12-11,21,-9.7,51,2.5,2000,-17.9,0,0,0
263,2017-12-11,22,-10.2,50,3,2000,-18.6,0,0,0
264,2017-12-11,23,-10.7,53,1.2,2000,-18.4,0,0,0
265,2017-12-12,0,-11,51,1.1,2000,-19.1,0,0,0
266,2017-12-12,1,-11.2,51,1.1,2000,-19.3,0,0,0
267,2017-12-12,2,-11.5,50,0.7,2000,-19.8,0,0,0
268,2017-12-12,3,-11.6,50,2.2,1995,-19.9,0,0,0
269,2017-12-12,4,-11.6,47,2.1,1982,-20.6,0,0,0
270,2017-12-12,5,-11.6,45,2.8,1951,-21.1,0,0,0
271,2017-12-12,6,-11.8,47,2.5,1973,-20.8,0,0,0
272,2017-12-12,7,-12.1,50,2.3,1929,-20.4,0,0,0
273,2017-12-12,8,-12.3,52,1.3,1914,-20.1,0,0,0
274,2017-12-12,9,-11.8,46,2.9,1956,-21.1,0.1,0,0
275,2017-12-12,10,-10.5,45,3.3,1855,-20.1,0.6,0,0
276,2017-12-12,11,-9.4,42,3.1,1815,-19.9,0.93,0,0
277,2017-12-12,12,-8.3,35,2.9,1967,-21,1.14,0,0
278,2017-12-12,13,-6.9,37,2.4,1955,-19.1,1.22,0,0
279,2017-12-12,14,-5.4,32,2,1930,-19.5,1.12,0,0
280,2017-12-12,15,-5.8,30,2.8,2000,-20.6,0.92,0,0
281,2017-12-12,16,-6,29,2.8,1983,-21.2,0.58,0,0
282,2017-12-12,17,-7,32,2.6,2000,-20.9,0.19,0,0
283,2017-12-12,18,-7.7,36,1,2000,-20.2,0,0,0
284,2017-12-12,19,-8.2,43,1.1,2000,-18.5,0,0,0
285,2017-12-12,20,-8.4,42,1,2000,-19,0,0,0
286,2017-12-12,21,-8.8,43,1.4,1999,-19.1,0,0,0
287,2017-12-12,22,-9,45,1.3,1999,-18.7,0,0,0
288,2017-12-12,23,-9.3,47,2.1,2000,-18.5,0,0,0
289,2017-12-13,0,-9.5,48,1.3,1996,-18.4,0,0,0
290,2017-12-13,1,-10.2,52,1.6,1997,-18.2,0,0,0
291,2017-12-13,2,-10.4,53,1.8,1949,-18.1,0,0,0
292,2017-12-13,3,-10.9,55,1.8,1913,-18.1,0,0,0
293,2017-12-13,4,-11.4,58,1.3,1907,-18,0,0,0
294,2017-12-13,5,-11.5,58,1.1,1923,-18.1,0,0,0
295,2017-12-13,6,-11.9,57,1.1,1974,-18.7,0,0,0
296,2017-12-13,7,-11.7,53,1.6,1998,-19.3,NA,0,0
297,2017-12-13,8,-11.4,47,3.3,2000,-20.4,0,0,0
298,2017-12-13,9,-11.1,46,3.4,1981,-20.4,0.1,0,0
299,2017-12-13,10,-9.5,39,2.1,1875,-20.9,0.6,0,0
300,2017-12-13,11,-8.1,35,1.8,1806,-20.9,0.96,0,0
301,2017-12-13,12,-6.5,30,2.9,1945,-21.2,1.17,0,0
302,2017-12-13,13,-5.8,28,2.9,1887,-21.4,1.23,0,0
303,2017-12-13,14,-4.7,27,2.9,1883,-20.8,1.12,0,0
304,2017-12-13,15,-4.9,26,3.1,1887,-21.5,0.89,0,0
305,2017-12-13,16,-4.5,26,2.2,2000,-21.1,0.56,0,0
306,2017-12-13,17,-5.6,29,1.7,2000,-20.8,0.18,0,0
307,2017-12-13,18,-6.6,33,1.1,2000,-20.2,0,0,0
308,2017-12-13,19,-6.6,31,1.6,2000,-20.9,0,0,0
309,2017-12-13,20,NA,35,0.8,2000,-20.4,0,0,0
310,2017-12-13,21,-8.3,39,1,2000,-19.8,0,0,0
311,2017-12-13,22,-8.9,39,0.1,2000,-20.3,0,0,0
312,2017-12-13,23,-9.2,44,0.4,1978,-19.2,0,0,0
313,2017-12-14,0,-9.5,50,0.6,1953,NA,0,0,0
314,2017-12-14,1,-9.8,48,0.8,2000,-18.7,0,0,NA
315,2017-12-14,2,-10.6,44,0.8,1903,-20.5,0,0,0
316,2017-12-14,3,NA,48,0.4,1651,-19.6,0,0,0
317,2017-12-14,4,-11,50,0.8,1718,-19.4,0,0,0
318,2017-12-14,5,-10.8,48,0.8,1648,-19.6,0,0,0
319,2017-12-14,6,-11,55,0.8,1541,-18.2,0,0,0
320,2017-12-14,7,-10.9,57,1.1,1387,-17.7,0,0,0
321,2017-12-14,8,-10.4,54,1.1,1432,-17.9,0.01,0,0
322,2017-12-14,9,-9.4,44,0.5,1680,-19.4,0.13,0,0
323,2017-12-14,10,-7.7,43,0.9,1555,-18.1,0.35,0,0
324,2017-12-14,11,-6.1,38,1,1587,-18.1,0.52,0,0
325,2017-12-14,12,-4.9,34,1.3,1768,-18.3,0.6,0,0
326,2017-12-14,13,-3.8,32,0.9,1827,-18.1,0.52,0,0
327,2017-12-14,14,-2.7,28,0.7,1857,-18.7,0.65,0,0
328,2017-12-14,15,-2.5,29,1.1,1667,-18.1,0.48,0,0
329,2017-12-14,16,-2.4,28,0.9,1878,-18.4,0.35,0,0
330,2017-12-14,17,-2.9,31,0.6,1723,-17.7,0.09,0,0
331,2017-12-14,18,-3.5,35,1.1,1414,-16.7,0,0,0
332,2017-12-14,19,-4.2,40,0.9,1216,-15.8,0,0,0
333,2017-12-14,20,-4.8,43,1.1,1397,-15.4,0,0,0
334,2017-12-14,21,-4.8,45,0.8,1351,-14.9,0,0,0
335,2017-12-14,22,-4.9,44,1.1,1369,-15.3,0,0,0
336,2017-12-14,23,-5.6,53,1.2,1290,-13.6,0,0,0
337,2017-12-15,0,-5.7,53,0.6,1262,-13.7,0,0,0
338,2017-12-15,1,-6.3,57,0.4,1148,-13.4,0,0,0
339,2017-12-15,2,-6.8,58,0.4,1089,-13.6,0,0,0
340,2017-12-15,3,-6.9,56,0.5,1111,-14.2,0,0,0
341,2017-12-15,4,-7.1,59,0.8,1058,-13.7,0,0,0
342,2017-12-15,5,-7.5,64,0.9,989,-13.1,0,0,0
343,2017-12-15,6,-7.4,64,0.7,906,-13,0,0,0
344,2017-12-15,7,-7,63,0.6,865,-12.8,0,0,0
345,2017-12-15,8,-6.6,64,1.1,791,-12.2,0,0,0
346,2017-12-15,9,-5.9,60,0.6,691,-12.4,0.09,0,0
347,2017-12-15,10,-4.6,52,0.8,648,-12.9,0.34,0,0
348,2017-12-15,11,-2.9,46,1,809,-12.9,0.42,0,0
349,2017-12-15,12,-2.5,43,0.7,895,-13.3,0.34,0,0
350,2017-12-15,13,-1.6,40,0.3,868,-13.4,0.32,0,0
351,2017-12-15,14,-0.7,39,0.8,826,-12.9,0.35,0,0
352,2017-12-15,15,0.1,35,1.5,946,-13.5,0.42,0,0
353,2017-12-15,16,0,37,0.6,994,-12.9,0.13,0,0
354,2017-12-15,17,-0.2,39,0.8,1016,-12.5,0,0,0
355,2017-12-15,18,0.1,43,0.9,1485,-11,0,0,0
356,2017-12-15,19,0.6,41,1.2,1550,-11.1,0,0,0
357,2017-12-15,20,0.9,42,1.2,1113,-10.5,0,0,0
358,2017-12-15,21,0.7,47,2.7,1283,-9.3,0,0,0
359,2017-12-15,22,-0.1,49,2,870,-9.5,0,0,0
360,2017-12-15,23,-1.3,60,2.5,792,-8,0,0,0
361,2017-12-16,0,-2.6,73,3.4,787,-6.7,0,0,0
362,2017-12-16,1,-3.4,76,2.9,582,-7,0,0,0
363,2017-12-16,2,-4.1,73,2.1,567,-8.2,NA,0,0
364,2017-12-16,3,-4.5,71,1.6,651,-8.9,0,0,0
365,2017-12-16,4,-5,70,2.7,702,-9.6,0,0,0
366,2017-12-16,5,-5.6,72,2,662,-9.8,0,0,0
367,2017-12-16,6,-6.1,69,2.9,765,-10.8,0,0,0
368,2017-12-16,7,-6.7,64,2.1,977,-12.3,0,0,0
369,2017-12-16,8,-7.3,62,2.6,1112,-13.3,0,0,0
370,2017-12-16,9,-7.2,47,2.8,1724,-16.6,0.18,0,0
371,2017-12-16,10,-6.2,42,2.3,1893,-17,0.52,0,0
372,2017-12-16,11,-5.2,30,4,1991,-20.1,0.86,0,0
373,2017-12-16,12,-4.1,28,3.8,1998,-19.9,1.08,0,0
374,2017-12-16,13,-3.7,23,4,1980,-21.8,1.12,0,0
375,2017-12-16,14,-3.4,22,4.3,1966,-22.1,1.07,0,0
376,2017-12-16,15,-3.3,22,5,2000,-22,NA,0,0
377,2017-12-16,16,-3.3,24,3.5,2000,-21,0.54,0,0
378,2017-12-16,17,-4.6,26,2.6,2000,-21.2,0.17,0,0
379,2017-12-16,18,-5.3,28,3.5,2000,-21,0,0,0
380,2017-12-16,19,-6,32,2.4,2000,-20,0,0,0
381,2017-12-16,20,-6.6,37,3.4,2000,-18.9,0,0,0
382,2017-12-16,21,-7.1,39,3.2,2000,-18.7,0,0,0
383,2017-12-16,22,-7.6,41,1.6,2000,NA,0,0,0
384,2017-12-16,23,-8,41,2.2,2000,-18.9,0,0,0
385,2017-12-17,0,-8.1,41,2,2000,-19,0,0,0
386,2017-12-17,1,-8.4,40,1.6,2000,-19.6,0,NA,0
387,2017-12-17,2,-8.7,40,2.8,2000,-19.8,0,0,0
388,2017-12-17,3,-9,40,3.1,2000,-20.1,0,0,0
389,2017-12-17,4,-9.5,40,1.9,2000,-20.6,0,0,0
